Sr_no,Username,Insta_Id,Profile_Id,Bio,Is_Business_Account,Email,Posts,Followers,Following,Business_Category_Name,Category_Name,FF_Ratio
12,kr.ayrus,https://www.instagram.com/kr.ayrus/,8667159909,"The best is yet to come ✨
🇦🇪~🇮🇳
Ex-ourownite  📚 |BITS’23 🎓 | Engineering
Tik tok 👇🏽",FALSE,Null,55,2762,396,Null,Public Figure,6.97
13,sakshiikhanna,https://www.instagram.com/sakshiikhanna/,4479768192,"𝓢💫
🦄Beauty Junkie
💄 Pro Makeup Artist & Educator @iksonemakeupstudio ✨
👻 sakshi_pari•Pvt. @sakshii_pvt02 
📩Dm for bookings/ collaboration",FALSE,Null,274,3761,2366,Null,Makeup Artist,1.59
14,pavan_vk18,https://www.instagram.com/pavan_vk18/,264891915,"Carpediem.
🇦🇪📌",FALSE,Null,158,3339,1518,Null,Personal Blog,2.2
15,_shraddhathakur_,https://www.instagram.com/_shraddhathakur_/,2996957806,"ℝ𝕖𝕒𝕝 𝕚𝕤 ℝ𝕒𝕣𝕖
𝐁𝐫𝐨𝐰𝐧 ☽𝓾𝓷𝓲 ᑕ𝐎ᖇᑎ🦄
𝐉𝐚𝐧𝐮𝐚𝐫𝐲 𝟐𝟒🧁
𝐏𝐞𝐚𝐫𝐥 𝐀𝐜𝐚𝐝𝐞𝐦𝐲 📝
𝐅𝐚𝐬𝐡𝐢𝐨𝐧 𝐒𝐭𝐲𝐥𝐢𝐧𝐠 𝐚𝐧𝐝 𝐈𝐦𝐚𝐠𝐞 𝐃𝐞𝐬𝐢𝐠𝐧 ✨
𝐖𝐡𝐞𝐧 𝐬𝐡𝐢𝐭 𝐡𝐚𝐩𝐩𝐞𝐧𝐬 𝐢𝐧 𝐦𝐲 𝐥𝐢𝐟𝐞 𝐈 𝐭𝐮𝐫𝐧 𝐢𝐭 𝐢𝐧𝐭𝐨 𝐟𝐞𝐫𝐭𝐢𝐥𝐢𝐳𝐞𝐫🌻",FALSE,Null,400,7002,277,Null,Personal Blog,25.28
16,kay_avya,https://www.instagram.com/kay_avya/,5497570918,"""This place is psychopathic""
Purgatory @fff_tales",FALSE,Null,145,2139,1261,Null,Coffee Shop,1.7
17,x.itij,https://www.instagram.com/x.itij/,2213745924,"Part-time tryna be nice person!🏴‍☠️🌚
flawed. && (‘still) worthy✌🏻
Ahmedabad - Vellore - Dubai 💩
ANTS’16 || VIT’20 || BITS’22🥵🥂",FALSE,Null,192,1763,1748,Null,None,1.01
18,navelidabral,https://www.instagram.com/navelidabral/,2437129428,Stay 🦩🧿 humble.,FALSE,Null,6,8449,398,Null,None,21.23
19,shellyahlawat_,https://www.instagram.com/shellyahlawat_/,7814951522,"We’re all just a bunch of addicts, struggling with our drug of choice.
📧: shellyahlawat22@gmail.com",FALSE,Null,28,3863,200,Null,Public Figure,19.32
20,kaushik____devansh,https://www.instagram.com/kaushik____devansh/,5489047431,One life.,FALSE,Null,70,1647,967,Null,None,1.7
21,ritzvxx,https://www.instagram.com/ritzvxx/,10900225596,Baller🏀,FALSE,Null,0,5302,4663,Null,None,1.14
22,rajneeshseth,https://www.instagram.com/rajneeshseth/,1446970686,"Choose People Who Choose You
(CHECK OUT MY LATEST YOU TUBE VIDEOS)",FALSE,Null,44,2150,2023,Null,None,1.06
23,fetefoundation,https://www.instagram.com/fetefoundation/,20533387248,"चलो हम मददगार बनें।❤️
Family of 700+members🤝
Our motive is spreading love and work for the welfare of the society in different fields!!🙌
Join us✨💌",TRUE,Null,354,1746,19,Non-Profits & Religious Organizations,Nonprofit Organization,91.89
24,jiyaguptaa_,https://www.instagram.com/jiyaguptaa_/,5474725332,"When the sun shine we shine together👭❤
Meant to live a uncommon life✨
📍Noida
👻:jiyaguptaa0102",FALSE,Null,161,2983,564,Null,Artist,5.29
25,fitsoulsanchi,https://www.instagram.com/fitsoulsanchi/,3294419461,"Sharing my learnings while transforming myself!
Fitness influencer |🏋️|💪🏻
Fitness|Workout| Food| lifestyle
Dm me for collabs/tips/workout sessions⚡️",TRUE,Null,255,5724,749,Creators & Celebrities,Public Figure,7.64
26,_stargazer_tanisha03.__,https://www.instagram.com/_stargazer_tanisha03.__/,7099000326,"Learner | Dancer | Performer | Explorer | ❤
JAAT. 💪🏻
Motivation?? 🤷‍♀️
Its right inside you!! ✨
#myday_3nov",TRUE,Null,125,2735,358,Creators & Celebrities,Artist,7.64
27,naavyaxx,https://www.instagram.com/naavyaxx/,39919165554,"We’re dumb to try to pin significance onto every little thing. 
#alisted",FALSE,Null,15,5669,636,Null,Beer Garden,8.91
28,dancewithprakhar,https://www.instagram.com/dancewithprakhar/,5022482808,"Sshh🥀
Expectations are injurious to health .",FALSE,Null,397,1628,907,Null,Dancer,1.79
29,be_a_bassi,https://www.instagram.com/be_a_bassi/,1485343523,"For bookings - rohit@thelaughstore.in , +91 9873528362",FALSE,Null,381,1036722,635,Null,Comedian,1632.63
30,sanjog.agarwal.4040,https://www.instagram.com/sanjog.agarwal.4040/,6923453784,"17 | Leo ♌︎ | 🎸🥁🎤
St. Mary’s Academy ‘19 | Meerut |
Kāsiga School ‘23 | Dehradun |",FALSE,Null,94,2191,2016,Null,Musician,1.09
31,falitsijariya,https://www.instagram.com/falitsijariya/,3040437175,"Stephens 23|Founder-Prez @studomatrix  @diplomatron
Feminist| 🏳️‍🌈|International Relations|Public Policy",FALSE,Null,155,1706,1618,Null,Public Figure,1.05
32,anshikaasachdeva,https://www.instagram.com/anshikaasachdeva/,1937484518,"it’s okay even i stalk.
19🪐
dm/mail for collaborations✨",FALSE,Null,94,3919,750,Null,Personal Blog,5.23
33,i.kshitiz,https://www.instagram.com/i.kshitiz/,2977669632,"🥇Mr. Delhi 2021🏆
🔹💯% Natural💪🏻
🔹Meerut, India🇮🇳",TRUE,Null,140,3953,1211,Creators & Celebrities,Fitness Model,3.26
34,vedanshiiii_02,https://www.instagram.com/vedanshiiii_02/,3954393331,"20🥀
Psych Major | IPCW, DU’21. 
Clinical | Thapar’23
Whisky in the teacup ☕️
@unwinding_the_mind
@skillregex",FALSE,Null,307,1044,974,Null,None,1.07
35,duaananya,https://www.instagram.com/duaananya/,3082496735,"LOVES Fashion, Fitness and Dancing.
Licensed Zumba® Fitness instructor @zumba | Dance fitness instructor
💌 me for collab and virtual Zumba sessions♥️",TRUE,Null,417,2840,702,Creators & Celebrities,Artist,4.05
36,saurabh_.kaushik_,https://www.instagram.com/saurabh_.kaushik_/,28153732060,"So blunt you can’t smoke my truth 🥴 
Spoiled brat 🍥",FALSE,Null,121,2115,1851,Null,None,1.14
37,tandoorichickenmomos,https://www.instagram.com/tandoorichickenmomos/,5940712130,"🎓 St. Stephens, Philosophy Hons22              
🏫 DPSG’19
🖊 @zent_oodlebychakshita 
🎂 24th September; 19 y/o
👻 c_gambhir
🌎 Travel
♥️ Chai
⚓️🖊",FALSE,Null,484,8072,4742,Null,Artist,1.7
38,kenza_zuberyy,https://www.instagram.com/kenza_zuberyy/,5617739484,"Maybe it’s time for a change. 💪🏻
unbowed | unbent | unbroken
👻 : kenzazuberyy",FALSE,Null,26,3235,766,Null,Personal Blog,4.22
39,adventureonavenger,https://www.instagram.com/adventureonavenger/,1158738651,"Unpretentious traveler | Biker | Struggling Reels creator
#Filhaal2reels
YouTube Vlog⬇️",FALSE,Null,586,6655,2989,Null,Digital Creator,2.23
40,edits._.youneed,https://www.instagram.com/edits._.youneed/,8667178797,"Dm me for favourite actor edits 💘
My day :5feb 
Dm me for your edits",FALSE,Null,131,5679,608,Null,Editor,9.34
41,jyeshtasingh,https://www.instagram.com/jyeshtasingh/,6132470642,"Were all under the same sky!🌈
Kaafi baatein reh gayi, par tumhari aankhein ankahi kahaniyan kab ki keh gayi! 
Alizeh ✨| Triambika Gauri✨| Mandakini✨",FALSE,Null,31,1267,863,Null,None,1.47
42,dnd_1819,https://www.instagram.com/dnd_1819/,7363742959,"🧡¡Pensé que aparecerías!
Properly yeehawin’ since 2001 
Humble with just a hint of @kanyewest 
BITS Pilani, Pilani Campus’22
📍Gurugram
🤍feliz acecho",FALSE,Null,73,2722,666,Null,Personal Blog,4.09
43,janvinegii,https://www.instagram.com/janvinegii/,2088624365,"• @thykage ka onlyfans •
I sexually identify as a ball of yarn 
📍Denial
.
@hansraj.dramsoc 
@kavyaakriti.hansraj
@beyondmeds.in",FALSE,Null,31,2624,1726,Null,Modern Art Museum,1.52
44,15_sugar,https://www.instagram.com/15_sugar/,4097122062,"| NeverTHEless persistent  | 🌓                                        
“Could be nice to be nice”🖇
< Law student 🎓",FALSE,Null,304,1819,1062,Null,None,1.71
45,desizncircle,https://www.instagram.com/desizncircle/,1930892493,"Art | Entrance | Portfolio | Ideas
Your gateway to the best design colleges in India & world!’
Delhi | Noida
NID | NIFT | UAL | FIT & OTHERS",TRUE,Null,8406,60188,4102,Professional Services,None,14.67
46,sardarjifones,https://www.instagram.com/sardarjifones/,983943930,"In the process - 
Unfollowing everyone right now, 
Will follow back only Active Members
 once unfollowing reaches zero.
#Like #Share #Support #YouTube",TRUE,Null,700,11153,1642,Personal Goods & General Merchandise Stores,Shopping & Retail,6.79
47,areeb181299,https://www.instagram.com/areeb181299/,4815094546,"@_my_flash_ | @barbican_india | @keventers_arabia | @xxtra_armor | @shieldproindia | @foodie_delight
DpsN18 | S P Jain22 
🇮🇳•🇸🇬•🇦🇪
📸•🥞•✈•🏎",FALSE,Null,385,2405,1761,Null,Blogger,1.37
48,bharatbansalvines,https://www.instagram.com/bharatbansalvines/,1975572415,"Welcome to Bharat Bansal Vines
Content Creator
*DELHI CAPITALS* @dctoli member 💙💙💙
PUNJABI🌹
Snapchat:- bharatbansal924
🇦🇪 🇦🇺 🇸🇬 🇮🇳 
🎸 😎",FALSE,Null,123,1600,698,Null,Video Creator,2.29
49,mr._chaudharry,https://www.instagram.com/mr._chaudharry/,3058367189,"Proud JAAT
#GRAPHIAN
Fashion|Fitness
#DANCER
Basketball 🏀 ❤
#Athlete
@crew__incredibles__official 
1st cry:- Nov. 1st, 2000
See+subscribe,Link Below:-",FALSE,Null,229,1902,1086,Null,Dancer,1.75
50,gunjansingh_206,https://www.instagram.com/gunjansingh_206/,7635933059,"20🍷
Amity University, Noida 🎓
@iamcardib 👅💦",FALSE,Null,273,4285,446,Null,Personal Blog,9.61
51,harsh_pradhan_up11,https://www.instagram.com/harsh_pradhan_up11/,47878690431,"Travel / food🦋🦋
Fashion / design 🦋
Uk / up🦋
Banda down to earth🦋
Dreams traveling world & try to be good men 🦋
Believe in myself 🦋
Working for dreams🦋",FALSE,Null,9,3091,2384,Null,None,1.3
52,anny_26_,https://www.instagram.com/anny_26_/,36094728922,"𝔾𝕣𝕒𝕡𝕙𝕚𝕒𝕟 
𝔻𝕖𝕙𝕣𝕒𝕕𝕦𝕟 🖤
Sc 👻: anjalisingh_06
𝔸𝕣𝕥𝕚𝕤𝕥 / 𝕨𝕣𝕚𝕥𝕖𝕣 / ℙ𝕠𝕖𝕥
𝔽𝕠𝕝𝕝𝕠𝕨 𝕞𝕪 𝕡𝕒𝕘𝕖 @fusion_of_strings⁣⁣
𝕆𝕟𝕝𝕪 𝕞𝕖 𝕕𝕖𝕗𝕚𝕟𝕖𝕤 𝕞𝕖",FALSE,Null,68,1543,1165,Null,None,1.32
53,mudgal_tanushi,https://www.instagram.com/mudgal_tanushi/,8746663899,"Mietian 😎
Black lover🖤🖤🖤🖤
Emotional 
Love travelling ♥️♥️
Engineering in process 
12/02 stepped into KalYug 😊😊 
Creeps stay away 😊😊😊😊",FALSE,Null,48,1395,950,Null,None,1.47
54,geuofficial,https://www.instagram.com/geuofficial/,3855150402,"Graphic Era University, is a premier University based in Dehradun, constituted under Graphic Era Educational Society, ranked amongst Top 100 in India",FALSE,Null,2421,19457,46,Null,College & University,422.98
55,duggu_aman_thakur,https://www.instagram.com/duggu_aman_thakur/,2091314806,,FALSE,Null,173,1534,1465,Null,None,1.05
56,selene_o9,https://www.instagram.com/selene_o9/,6613916153,"19//sleepy 😴
Sorry for the mean accurate things I said.",FALSE,Null,7,2334,1254,Null,None,1.86
57,stutiipie,https://www.instagram.com/stutiipie/,4325564179,Do whatever makes u feel alive ❤,TRUE,Null,401,10188,424,Creators & Celebrities,Personal Blog,24.03
58,meerutwali,https://www.instagram.com/meerutwali/,10206671371,"Ram ram 🙏 baal bcche theek?? 
. 
Memer bnna h mujhe pure paschim uttar pradesh ka😌😂
.
Follow me nd ek gaj Highway ki jameen tumhari 🛣🛣",FALSE,Null,503,5072,193,Null,Blogger,26.28
59,divinedusky,https://www.instagram.com/divinedusky/,1681232933,"Blessed,Thankful and Focused.
Managed by @influncollabs 
Lokah Samastah Sukhino Bhavantu",TRUE,Null,395,10754,602,Non-Profits & Religious Organizations,Community,17.86
60,its_ashirana,https://www.instagram.com/its_ashirana/,44683621208,"MY DAY: 02:08:2002
Dream•hope•believe•try 
Keep loving keep supporting💜
Subscribe to my YouTube channel🌸👇🏻",FALSE,Null,222,2639,334,Null,Video Creator,7.9
61,junoon.07,https://www.instagram.com/junoon.07/,7312457027,"Still is concealed, the escaping mind.
DU21  🎓
Jamshedpur - Delhi",FALSE,Null,114,1821,901,Null,Artist,2.02
62,ishikagogia,https://www.instagram.com/ishikagogia/,1591917845,"Trying to bring a smile on your face through my style😊
Let me help you to make the best out of your wardrobe 
DM for collabs 
ishikagogia29@gmail.com📩",FALSE,Null,110,4886,865,Null,Digital Creator,5.65
63,arsd_college_,https://www.instagram.com/arsd_college_/,8265359099,"Official Handle Of ARSD College✌🏻
For Any Info And Update DM Me
Or @prabal_yadav_ 
Contact : 9759719996",FALSE,Null,984,2736,39,Null,None,70.15
64,du_says,https://www.instagram.com/du_says/,5768410339,"Straight outta Delhi University 🎓
@duspeaksup 
@du.dictionary",TRUE,Null,6036,69199,246,Business & Utility Services,Social Media Agency,281.3
65,du_beat,https://www.instagram.com/du_beat/,1005107242,Indias largest independent student-run newspaper.,TRUE,Null,5254,61179,75,Publishers,None,815.72
66,yuvraj.dua,https://www.instagram.com/yuvraj.dua/,2127892009,"Overacting ka Pakoda 🥠
I know I have a gap in my teeth, and I know it’s called Diastema 🤓
he/him
repped by @hyppofficial
Youtube ⬇️",FALSE,Null,347,401208,443,Null,Video Creator,905.66
67,simrannagpalll,https://www.instagram.com/simrannagpalll/,32078836848,"Nirbhau Nirvair ੴ
👻 - siimmmuuuu",FALSE,Null,14,2923,618,Null,None,4.73
68,shubham_balotia,https://www.instagram.com/shubham_balotia/,1358484180,"27ᴛʜ ɴᴏᴠᴇᴍʙᴇʀ 🎂 
ᴇx-ʜᴀɴꜱᴀʀɪᴀɴ
ᴇx-ᴀʀꜱᴅɪᴀɴ,ᴅᴜ
𝐊𝐏𝐌𝐆 𝐆𝐥𝐨𝐛𝐚𝐥 𝐒𝐞𝐫𝐯𝐢𝐜𝐞𝐬 (𝐊𝐆𝐒)
𝗖𝗼𝗻𝗻𝗲𝗰𝘁 𝗟𝗶𝗻𝗸𝗲𝗱𝗜𝗻 ☟",FALSE,Null,180,1807,1580,Null,None,1.14
69,raba_chaudhry19,https://www.instagram.com/raba_chaudhry19/,44700502210,"She/her
It’s Raba, not Raba. 
ARSD’23 🎓",FALSE,Null,4,1382,983,Null,Personal Blog,1.41
70,mehulkalra10,https://www.instagram.com/mehulkalra10/,2910378680,"20|Yea I play piano✌kinda
Check out my feed/reels/IGTV 🎹🎶
Spread positivity✨
@carryminati @taylorswift noticed×1
NEW VIDEO▶️⬇SUBSCRIBE",FALSE,Null,77,2402,896,Null,Musician,2.68
71,essajeesatelier,https://www.instagram.com/essajeesatelier/,7401848621,Award winning interior design firm led by @sarahmsham with a pan-India presence and part of a 120 yr old legacy. Inquire on design@essajeesatelier.com,TRUE,Null,576,162702,1736,Home Services,Interior Design Studio,93.72
72,architecturebrio,https://www.instagram.com/architecturebrio/,4090532654,"Mumbai x Rotterdam
co-creates contextually appropriate solutions within an increasingly changing world #architecturebrio",FALSE,Null,711,42619,1098,Null,Architectural Designer,38.82
73,spasmdesignarchitects,https://www.instagram.com/spasmdesignarchitects/,5666558828,"Let your soul , be your pilot
Apply on: work.spasm@gmail.com",TRUE,Null,982,76301,295,Home Services,None,258.65
74,sanjay_puri_architects,https://www.instagram.com/sanjay_puri_architects/,484275901,Winners of 270 international/national awards . Contact email spuri@sanjaypuri.in,TRUE,Null,806,306813,2668,Professional Services,Architectural Designer,115
75,usine_studio,https://www.instagram.com/usine_studio/,4807514818,"co-founders : Yatin Kavaiya & Jiten tosar | #architecture  #interiordesign  #design |  vadodara, India",FALSE,Null,203,17077,653,Null,Designer,26.15
76,ace_associates,https://www.instagram.com/ace_associates/,2253976887,"Architecture / Interior / Landscape.
Anand / Ahmedabad, Gujarat, India.
DM us for more information or collaboration.
Mail us at mail@aceassociates.in",FALSE,Null,142,21410,207,Null,Architectural Designer,103.43
77,aangan_architects,https://www.instagram.com/aangan_architects/,6358980165,https://youtu.be/hC6qUMoYO9Q,TRUE,Null,219,12997,130,Personal Goods & General Merchandise Stores,Product/Service,99.98
78,baldiwala_edge,https://www.instagram.com/baldiwala_edge/,3252130369,,TRUE,Null,444,25296,713,Home Services,Interior Design Studio,35.48
79,the_purple_ink_studio,https://www.instagram.com/the_purple_ink_studio/,4848524516,"Co-Founder and Principal Architect of ‘The Purple Ink Studio’, Bangalore.",TRUE,Null,457,21244,419,Professional Services,None,50.7
80,stapatibangalore,https://www.instagram.com/stapatibangalore/,4030207858,"Works of STAPATI Bangalore
Architecture & Interior design firm based in Bangalore/Calicut/Kochi, India",TRUE,Null,410,42342,28,Professional Services,Architectural Designer,1512.21
81,cadence_architects,https://www.instagram.com/cadence_architects/,3504388131,"Projective practice in Bengaluru, operating  through Architecture & Interior Design.",TRUE,Null,592,35769,360,Professional Services,Architectural Designer,99.36
82,loharramesh,https://www.instagram.com/loharramesh/,1542483340,"Founder and owner R + R Architects         
Architecture • Interior • Landscape
#SignatureInteriorsByRplusR #rplusrarchitects 
@rplusrarchitects",FALSE,Null,818,18936,1563,Null,Interior Design Studio,12.12
83,indiadesignworld,https://www.instagram.com/indiadesignworld/,3238805613,"An eclectic curation of the works of Indian designers, architects, photographers, product designers and artists. Celebrating India! 🇮🇳",TRUE,Null,1936,124482,289,Publishers,Magazine,430.73
84,vinudaniel,https://www.instagram.com/vinudaniel/,272143310,www.wallmakers.org,FALSE,Null,173,36333,182,Null,Architectural Designer,199.63
85,kaarwan.india,https://www.instagram.com/kaarwan.india/,2349642942,"Architecture, Design & Technology #skills #workshops #news #travel
Check 👇 link for free & affordable workshops
Tag #kaarwan for ❤️ and feature",TRUE,Null,789,56876,909,Professional Services,Educational Research Center,62.57
86,volume_zero,https://www.instagram.com/volume_zero/,2081705876,"Architecture and Design Magazine
We believe every design is unique, so is the mind behind it.”
Visit: https://volzero.com/",TRUE,Null,2715,121352,272,Publishers,News & Media Website,446.15
87,morphed_studio,https://www.instagram.com/morphed_studio/,2994137738,•3d Architectural Visualisation Studio.•CGI •Contact: morphedstudio@gmail.com,TRUE,Null,562,19677,4174,Professional Services,Architectural Designer,4.71
88,studiowodehouse,https://www.instagram.com/studiowodehouse/,333535789,Multi - award winning turnkey Interior Architecture firm by @shonali.mahajan with a repertoire for creating luxurious & soulful spaces BOMBAY | GOA,TRUE,Null,570,10907,3727,Home Services,Interior Design Studio,2.93
89,noaidwin_sttudio,https://www.instagram.com/noaidwin_sttudio/,17942923527,"• Architecture & Interior + Luxury & Lifestyle Photographer • 
• +91 9408679189 •
• Surat | Mumbai •
@nilkanthbharucha",FALSE,Null,201,28332,1435,Null,Photographer,19.74
90,theinteriorworkshop,https://www.instagram.com/theinteriorworkshop/,7637073013,"Interior | Planning | Product Design | Landscape
Founder - @tejasmistry_tiw 
Surat, Gujarat, India 🇮🇳",FALSE,Null,590,38923,852,Null,Interior Design Studio,45.68
91,3_square,https://www.instagram.com/3_square/,4240038952,"| Interior, Architectural & Landscape Design Company |
| Specialised in Residential & Corporate Interior Designing |
| Designing with illumination |",TRUE,Null,479,30335,19,Home Services,Interior Design Studio,1596.58
92,studio17.in,https://www.instagram.com/studio17.in/,11544619320,"@mayurmangukiya17 I @ankit_sojitra25
Applicants-Hr@Studio17.in",TRUE,Null,189,18315,342,Home Services,Interior Design Studio,53.55
93,engagearchitecture,https://www.instagram.com/engagearchitecture/,4727200663,"A platform promoting Architecture and Interior Design from across India. #EngageArchitecture
DM / Email us to feature your projects.",TRUE,Null,456,20992,904,General Interest,Event,23.22
94,somebuddyinteriors,https://www.instagram.com/somebuddyinteriors/,8281562778,"An #interiordesign & #interiordecor #inspiration page with #best #interior around the #world.
For more content on #homeinterior & #decor click link👇
.",TRUE,Null,887,169453,46,Non-Profits & Religious Organizations,Community Organization,3683.76
95,parisar_studio,https://www.instagram.com/parisar_studio/,33362364214,Architectural - interior - Art,TRUE,Null,199,52462,0,Home Services,Interior Design Studio,Null
96,maanavihomes,https://www.instagram.com/maanavihomes/,6727800542,"Luxury & Custom Made #Furnitures | Curtains | Cushions
Previously known as Doing Homes 😊
#MadeinIndia #VocalforLocal 🧿 
📍Experience Centre : Surat",FALSE,Null,581,108465,529,Null,Furniture,205.04
97,beautifulhomes.india,https://www.instagram.com/beautifulhomes.india/,3588019936,"Beautiful Homes is an online design magazine brought to you by Asian Paints, dedicated to contemporary design, homes, decor and the way we live.",TRUE,Null,3546,456670,194,Home Goods Stores,Home Decor,2353.97
98,housethome,https://www.instagram.com/housethome/,12628499419,"We help Home Owners 𝘾𝙧𝙚𝙖𝙩𝙚 𝙩𝙝𝙚𝙞𝙧 𝘿𝙧𝙚𝙖𝙢 𝙃𝙤𝙢𝙚!🇮🇳
𝘐𝘯𝘴𝘱𝘪𝘳𝘪𝘯𝘨 𝘺𝘰𝘶 𝘥𝘢𝘪𝘭𝘺, 𝘵𝘰 𝙡𝙞𝙫𝙚 𝙮𝙤𝙪𝙧 𝙗𝙚𝙨𝙩 𝙡𝙞𝙛𝙚!
To get Featured : Email >> 𝗲𝗱𝗶𝘁@𝗵𝗼𝘂𝘀𝗲𝘁𝗵𝗼𝗺𝗲.𝗰𝗼𝗺",TRUE,Null,3182,319923,263,Home Goods Stores,Home Decor,1216.44
99,theidealhomeandgarden,https://www.instagram.com/theidealhomeandgarden/,3976315172,The official Instagram account of The Ideal Home and Garden Magazine,TRUE,Null,2625,110811,75,Publishers,None,1477.48
100,thepurpleturtles,https://www.instagram.com/thepurpleturtles/,1514217167,"An eclectic collection of lights, furniture & home decor accessories sourced & customised, comes to life in our stores based in Bangalore and Chennai.",TRUE,Null,2716,121007,2169,Home Goods Stores,Home Decor,55.79
101,goodearthindia,https://www.instagram.com/goodearthindia/,237703271,"Crafted by hand, inspired by nature, enchanted by history. #Mubaarak25  #EnchantedIndia
Explore Pakeezah, a collection of dreamy occasion wear:",TRUE,Null,4722,537473,351,Home Goods Stores,None,1531.26
102,a.for.architecture,https://www.instagram.com/a.for.architecture/,12321480438,,TRUE,Null,42,5946,142,Professional Services,Architectural Designer,41.87
103,zzarchitects,https://www.instagram.com/zzarchitects/,7329357071,ZZ Architects is amongst India’s leading firms redefining luxury in architecture and interiors by delivering bespoke projects across categories.,TRUE,Null,308,94941,166,Professional Services,Architectural Designer,571.93
104,aamir_hameeda,https://www.instagram.com/aamir_hameeda/,3624075599,Facebook page aamirandhameeda  partner @aamirsharma @hameedasharma,TRUE,Null,246,94917,562,Home Services,None,168.89
105,the_crossboundaries,https://www.instagram.com/the_crossboundaries/,7486967975,"Collaborating with clients in India and all over the world to create healthy, sustainable place to live, learn, work, play & heal.",FALSE,Null,404,10019,2083,Null,Architectural Designer,4.81
106,ghorichaassociate,https://www.instagram.com/ghorichaassociate/,8245444646,"Architecture and Interior designer firm
Ghorichaassociate@yahoo.co.in",TRUE,Null,212,12128,96,Professional Services,Architectural Designer,126.33
107,hm.architects,https://www.instagram.com/hm.architects/,8633442286,"Integrated Architecture & Interior design firm.
Co-founders - Harshad Mistry | Mansi shah",TRUE,Null,291,11712,188,Professional Services,Architectural Designer,62.3
108,designcore_studio,https://www.instagram.com/designcore_studio/,5690317787,"Ar. Manish Choksi (@manish__choksi) | Ar. Urvi Choksi
Architecture | Luxury Interior Design | Landscape",TRUE,Null,359,29101,390,Creators & Celebrities,Entrepreneur,74.62
109,studio_essteam,https://www.instagram.com/studio_essteam/,5620459740,#architecture #urbandesign #urbanplanning #interiors #greenbuildingconsultancy #art #productdesign,TRUE,Null,192,9670,253,Creators & Celebrities,Designer,38.22
110,studioyamini,https://www.instagram.com/studioyamini/,7139166904,,TRUE,Null,160,6382,409,Business & Utility Services,Design & Fashion,15.6
